# ====== 升级卡牌表 (Brotato风格 升级抽卡系统) ======
# 格式: CSV (逗号分隔), 以 # 开头的行为注释行
# 共 17 属性 × 4 Tier + 3 特殊 = 71 张
#
# ====== 列说明 (11列) ======
# id:          卡牌唯一标识 (英文)
# name:        卡牌名 (中文, 如 "心脏")
# desc:        卡牌描述 (显示数值)
# icon:        卡牌图标 (emoji)
# tier:        品质等级 I|II|III|IV (IV最高)
# statField:   属性字段名 (maxHp, armor, speed, critChance 等, 对应角色面板key)
# statValue:   属性值 (数值, 具体单位由字段决定)
# tags:        流派标签限制
#              melee|ranged|fire|explosive|tech|crit|economy
#              空 = 所有流派可用, 用 | 分隔 = 仅限这些流派
# unlockLevel: 角色等级解锁要求 (数字, 如 1=初始可用)
# actionType:  特殊动作类型 (空=普通属性卡)
#   weaponLevelUp  武器升级 (随机武器+1级)
#   weaponQualityUp 品质提升 (预留)
#   addWeaponSlot  增加武器槽
# actionValue: 特殊动作参数 (与actionType搭配)
id,name,desc,icon,tier,statField,statValue,tags,unlockLevel,actionType,actionValue
maxHp_t1,心脏,最大生命 +3,❤️,I,maxHp,3,,1,,
maxHp_t2,心脏,最大生命 +6,❤️,II,maxHp,6,,5,,
maxHp_t3,心脏,最大生命 +9,❤️,III,maxHp,9,,10,,
maxHp_t4,心脏,最大生命 +12,❤️,IV,maxHp,12,,25,,
hpRegen_t1,肺脏,生命回复 +0.3/秒,💚,I,hpRegen,0.3,,1,,
hpRegen_t2,肺脏,生命回复 +0.6/秒,💚,II,hpRegen,0.6,,5,,
hpRegen_t3,肺脏,生命回复 +1.0/秒,💚,III,hpRegen,1.0,,10,,
hpRegen_t4,肺脏,生命回复 +1.5/秒,💚,IV,hpRegen,1.5,,25,,
lifeSteal_t1,利齿,生命偷取 +1%,🩸,I,lifeSteal,0.01,melee,1,,
lifeSteal_t2,利齿,生命偷取 +2%,🩸,II,lifeSteal,0.02,melee,5,,
lifeSteal_t3,利齿,生命偷取 +3%,🩸,III,lifeSteal,0.03,melee,10,,
lifeSteal_t4,利齿,生命偷取 +4%,🩸,IV,lifeSteal,0.04,melee,25,,
damagePercent_t1,三头肌,伤害% +4%,🗡️,I,damagePercent,0.04,,1,,
damagePercent_t2,三头肌,伤害% +8%,🗡️,II,damagePercent,0.08,,5,,
damagePercent_t3,三头肌,伤害% +12%,🗡️,III,damagePercent,0.12,,10,,
damagePercent_t4,三头肌,伤害% +16%,🗡️,IV,damagePercent,0.16,,25,,
meleeDamage_t1,前臂,近战伤害 +2,⚔️,I,meleeDamage,2,melee,1,,
meleeDamage_t2,前臂,近战伤害 +4,⚔️,II,meleeDamage,4,melee,5,,
meleeDamage_t3,前臂,近战伤害 +6,⚔️,III,meleeDamage,6,melee,10,,
meleeDamage_t4,前臂,近战伤害 +8,⚔️,IV,meleeDamage,8,melee,25,,
rangedDamage_t1,肩膀,远程伤害 +1,🏹,I,rangedDamage,1,ranged,1,,
rangedDamage_t2,肩膀,远程伤害 +2,🏹,II,rangedDamage,2,ranged,5,,
rangedDamage_t3,肩膀,远程伤害 +3,🏹,III,rangedDamage,3,ranged,10,,
rangedDamage_t4,肩膀,远程伤害 +4,🏹,IV,rangedDamage,4,ranged,25,,
elementalDamage_t1,大脑,元素伤害 +1,🔮,I,elementalDamage,1,fire|explosive,1,,
elementalDamage_t2,大脑,元素伤害 +2,🔮,II,elementalDamage,2,fire|explosive,5,,
elementalDamage_t3,大脑,元素伤害 +3,🔮,III,elementalDamage,3,fire|explosive,10,,
elementalDamage_t4,大脑,元素伤害 +4,🔮,IV,elementalDamage,4,fire|explosive,25,,
attackSpeed_t1,反射神经,攻速 +5%,⚡,I,attackSpeed,0.05,,1,,
attackSpeed_t2,反射神经,攻速 +10%,⚡,II,attackSpeed,0.1,,5,,
attackSpeed_t3,反射神经,攻速 +15%,⚡,III,attackSpeed,0.15,,10,,
attackSpeed_t4,反射神经,攻速 +20%,⚡,IV,attackSpeed,0.2,,25,,
critChance_t1,手指,暴击率 +3%,💥,I,critChance,0.03,crit,1,,
critChance_t2,手指,暴击率 +5%,💥,II,critChance,0.05,crit,5,,
critChance_t3,手指,暴击率 +7%,💥,III,critChance,0.07,crit,10,,
critChance_t4,手指,暴击率 +9%,💥,IV,critChance,0.09,crit,25,,
engineering_t1,颅骨,工程 +1,🤖,I,engineering,1,tech,1,,
engineering_t2,颅骨,工程 +2,🤖,II,engineering,2,tech,5,,
engineering_t3,颅骨,工程 +3,🤖,III,engineering,3,tech,10,,
engineering_t4,颅骨,工程 +5,🤖,IV,engineering,5,tech,25,,
attackRange_t1,眼睛,射程 +15,🎯,I,attackRange,15,ranged,1,,
attackRange_t2,眼睛,射程 +30,🎯,II,attackRange,30,ranged,5,,
attackRange_t3,眼睛,射程 +45,🎯,III,attackRange,45,ranged,10,,
attackRange_t4,眼睛,射程 +60,🎯,IV,attackRange,60,ranged,25,,
armor_t1,胸甲,护甲 +1,🛡️,I,armor,1,,1,,
armor_t2,胸甲,护甲 +2,🛡️,II,armor,2,,5,,
armor_t3,胸甲,护甲 +3,🛡️,III,armor,3,,10,,
armor_t4,胸甲,护甲 +4,🛡️,IV,armor,4,,25,,
dodge_t1,背部,闪避 +3%,💨,I,dodge,0.03,,1,,
dodge_t2,背部,闪避 +6%,💨,II,dodge,0.06,,5,,
dodge_t3,背部,闪避 +9%,💨,III,dodge,0.09,,10,,
dodge_t4,背部,闪避 +12%,💨,IV,dodge,0.12,,25,,
speed_t1,双腿,移速 +3,👟,I,speed,3,,1,,
speed_t2,双腿,移速 +6,👟,II,speed,6,,5,,
speed_t3,双腿,移速 +9,👟,III,speed,9,,10,,
speed_t4,双腿,移速 +12,👟,IV,speed,12,,25,,
luck_t1,嗅觉,幸运 +5,🍀,I,luck,5,economy,1,,
luck_t2,嗅觉,幸运 +10,🍀,II,luck,10,economy,5,,
luck_t3,嗅觉,幸运 +15,🍀,III,luck,15,economy,10,,
luck_t4,嗅觉,幸运 +20,🍀,IV,luck,20,economy,25,,
materialGain_t1,双手,材料获取% +3%,💰,I,materialGain,0.03,economy,1,,
materialGain_t2,双手,材料获取% +6%,💰,II,materialGain,0.06,economy,5,,
materialGain_t3,双手,材料获取% +9%,💰,III,materialGain,0.09,economy,10,,
materialGain_t4,双手,材料获取% +12%,💰,IV,materialGain,0.12,economy,25,,
harvesting_t1,胃,采集 +4%,🍽️,I,harvesting,0.04,economy,1,,
harvesting_t2,胃,采集 +8%,🍽️,II,harvesting,0.08,economy,5,,
harvesting_t3,胃,采集 +12%,🍽️,III,harvesting,0.12,economy,10,,
harvesting_t4,胃,采集 +18%,🍽️,IV,harvesting,0.18,economy,25,,
weaponLvUp,武器升级,随机武器+1级,⚔️,II,,,,3,weaponLevelUp,
weaponQuality,品质提升,随机武器品质+1,✨,III,,,,6,weaponQualityUp,
weaponSlotUp,武器槽,武器槽+1,📦,IV,,,,25,addWeaponSlot,
